ID,Gender,Race,Ethnicity,Age,Income
124639,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.0,1133.3333333333333
127418,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0,1000.0
128052,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.666666666666664,735.0
128245,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),50.0,704.0
129902,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,1000.0
130335,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0,733.0
130576,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0,1000.0
130671,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.714285714285715,736.6666666666666
130847,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),49.0,805.0
133240,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0,800.0
133362,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.0,664.0
133428,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.5,400.0
133728,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),47.0,800.0
134851,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.5,620.0
135019,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),65.0,822.0
135107,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.0,733.0
139570,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),35.0,733.0
140619,Male,Black or African American (HUD),Hispanic/Latino (HUD),52.0,886.0
141979,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),65.0,237.0
143061,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.3,1450.0
143887,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),60.0,350.0
146403,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0,1442.0
147114,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),40.0,674.0
147927,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.333333333333332,751.0
147955,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0,500.0
149513,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.333333333333336,966.6666666666666
149595,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0,680.0
152288,Female,Black or African American (HUD),Hispanic/Latino (HUD),34.0,619.0
152503,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),40.25,753.0
153907,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),55.0,801.0
154253,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),49.0,377.5
154406,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0,640.0
157427,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0,735.0
158747,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.0,1550.0
158981,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.111111111111114,700.0
159188,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0,788.0
159422,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0,738.0
159852,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.8,771.0
160327,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0,733.0
160833,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0,786.0
160859,Male,American Indian or Alaska Native (HUD),Hispanic/Latino (HUD),53.0,820.0
161265,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.4,1200.0
162032,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),38.5,700.0
162085,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0,771.0
162560,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0,507.0
162631,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0,760.0
162677,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0,733.0
164096,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),66.0,903.0
164121,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),60.0,1033.3333333333333
164357,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.5,734.0
164980,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),46.0,772.0
165623,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.75,745.6666666666666
165730,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.5,738.6666666666666
166240,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0,750.0
166411,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),31.0,350.0
166457,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.2,1800.0
167253,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.666666666666664,900.0
167439,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.22222222222223,937.0
167781,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0,1365.0
167802,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),71.0,918.0
167874,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),27.0,1200.0
167911,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.8,2935.6
167933,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),46.0,800.0
168456,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.666666666666664,2000.0
168634,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0,665.0
168637,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0,1166.6666666666667
168762,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),30.5,511.0
168881,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,376.5
169008,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.5,733.0
169182,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0,600.0
169422,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),32.81818181818182,406.15
169426,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.0,652.0
169498,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0,90.0
169662,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.0,674.0
171340,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0,219.0
171435,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0,707.0
171448,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),63.25,480.625
172046,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0,733.0
172231,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,798.0
172434,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),61.0,1127.0
172627,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),24.0,733.0
172864,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),24.333333333333332,1100.0
172866,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.875,1200.0
